#time,accel_x,accel_y,accel_z
147.734259,4811.338623,7476.080014,0.000000
147.734579,5255.462188,7994.224174,0.000000
147.734900,4959.379811,7994.224174,-459.657299
147.735220,4737.318029,7920.203579,-76.609550
147.735541,5033.400406,8068.244768,-153.219100
147.735861,4885.359217,8290.306550,-229.828649
147.736182,4885.359217,8364.327145,-383.047749
147.736502,5033.400406,7846.182985,-306.438199
147.736823,4959.379811,8068.244768,-153.219100
147.737143,4885.359217,7994.224174,-153.219100
147.737464,5255.462188,7920.203579,0.000000
147.737784,4885.359217,8586.388927,0.000000
147.738105,5107.421000,8216.285956,-229.828649
147.738426,4885.359217,7994.224174,76.609550
147.738746,4959.379811,8142.265362,-153.219100
147.739067,4959.379811,8068.244768,0.000000
147.739387,4737.318029,8216.285956,-306.438199
147.739708,4959.379811,8068.244768,-383.047749
147.740028,5033.400406,8142.265362,0.000000
147.740349,4959.379811,8216.285956,0.000000
147.740669,4885.359217,8142.265362,459.657299
147.740990,5033.400406,8216.285956,0.000000
147.741310,4811.338623,8142.265362,-229.828649
147.741631,5181.441594,8068.244768,-229.828649
147.741951,4959.379811,8068.244768,-76.609550
147.742272,5033.400406,7920.203579,0.000000
147.742592,5255.462188,7994.224174,-919.314598
147.742913,4811.338623,7994.224174,-306.438199
147.743234,4885.359217,8142.265362,-229.828649
147.743554,4959.379811,7920.203579,0.000000
147.743875,5107.421000,7994.224174,-76.609550
147.744195,5107.421000,8068.244768,153.219100
147.744516,4885.359217,8290.306550,-76.609550
147.744836,5255.462188,7846.182985,-153.219100
147.745157,5107.421000,7994.224174,-153.219100
147.745477,4885.359217,8068.244768,-229.828649
147.745798,5255.462188,8142.265362,0.000000
147.746118,4959.379811,7920.203579,-76.609550
147.746439,5033.400406,7846.182985,0.000000
147.746759,5107.421000,7994.224174,-229.828649
147.747080,4959.379811,7994.224174,-76.609550
147.747400,5033.400406,7772.162391,612.876398
147.747721,4885.359217,7920.203579,0.000000
147.748041,4737.318029,7476.080014,0.000000
147.748362,4589.276840,7328.038826,-229.828649
147.748683,4145.153275,7402.059420,0.000000
147.749003,4219.173869,8364.327145,0.000000
147.749324,4663.297435,9474.636058,-689.485948
147.749644,4663.297435,9918.759623,-1072.533697
147.749965,4663.297435,9474.636058,-1455.581446
147.750285,4293.194464,8956.491898,0.000000
147.750606,3552.988522,8882.471304,383.047749
147.750926,3182.885551,9178.553681,689.485948
147.751247,2664.741391,9474.636058,766.095498
147.751567,2664.741391,8882.471304,229.828649
147.751888,2664.741391,8364.327145,-306.438199
147.752208,3182.885551,8068.244768,-383.047749
147.752529,3034.844362,9252.574275,-383.047749
147.752849,2960.823768,9474.636058,0.000000
147.753170,2664.741391,9252.574275,306.438199
147.753491,2368.659014,9474.636058,76.609550
147.753811,2072.576638,9918.759623,306.438199
147.754132,1998.556043,11251.130318,-1225.752797
147.754452,1258.350101,11843.295072,-1225.752797
147.754773,1258.350101,11917.315666,-1378.971896
147.755093,888.247130,11547.212695,-1608.800546
147.755414,-296.082377,11473.192101,-1225.752797
147.755734,-370.102971,11547.212695,-995.924147
147.756055,-1554.432478,12583.501014,-153.219100
147.756375,-2072.576638,13101.645173,766.095498
147.756696,-2146.597232,12509.480420,1455.581446
147.757016,-1332.370696,11991.336260,1455.581446
147.757337,-1110.308913,12287.418637,1915.238745
147.757657,-1998.556043,12435.459826,1608.800546
147.757978,-2664.741391,11473.192101,76.609550
147.758299,-1998.556043,10362.883188,-1072.533697
147.758619,-1036.288319,9326.594869,-459.657299
147.758940,-740.205942,9696.697840,995.924147
147.759260,0.000000,10362.883188,1072.533697
147.759581,148.041188,11325.150913,-153.219100
147.759901,740.205942,11843.295072,-1455.581446
147.760222,1480.411884,11325.150913,-1225.752797
147.760542,2590.720797,10140.821405,-383.047749
147.760863,3182.885551,10066.800811,0.000000
147.761183,2812.782580,9844.739029,-536.266849
147.761504,2220.617826,9474.636058,-2374.896044
147.761824,2220.617826,9548.656652,-2604.724693
147.762145,2072.576638,9622.677246,-1302.362347
147.762465,2368.659014,9918.759623,0.000000
147.762786,1998.556043,10066.800811,-229.828649
147.763107,1332.370696,10510.924376,0.000000
147.763427,740.205942,11325.150913,-383.047749
147.763748,-222.061783,11103.089130,0.000000
147.764068,-370.102971,9770.718434,919.314598
147.764389,0.000000,9474.636058,612.876398
147.764709,222.061783,10288.862594,1072.533697
147.765030,-666.185348,10584.944971,612.876398
147.765350,-814.226536,10732.986159,919.314598
147.765671,0.000000,11177.109724,1378.971896
147.765991,962.267725,11473.192101,1455.581446
147.766312,1110.308913,11177.109724,766.095498
147.766632,2072.576638,10732.986159,-766.095498
147.766953,1776.494261,10510.924376,-1532.190996
147.767273,1480.411884,9696.697840,-919.314598
147.767594,1776.494261,8956.491898,0.000000
