#time,accel_x,accel_y,accel_z
151.517649,4959.379811,8142.265362,-306.438199
151.517970,5107.421000,8290.306550,0.000000
151.518290,4885.359217,7846.182985,0.000000
151.518611,5255.462188,7920.203579,-383.047749
151.518932,5033.400406,8142.265362,0.000000
151.519252,5033.400406,7994.224174,-153.219100
151.519573,5033.400406,8142.265362,229.828649
151.519894,4959.379811,7994.224174,-153.219100
151.520214,5107.421000,8068.244768,0.000000
151.520535,4885.359217,7920.203579,-229.828649
151.520856,5107.421000,7994.224174,153.219100
151.521176,4811.338623,7846.182985,-229.828649
151.521497,5107.421000,8068.244768,-153.219100
151.521817,4885.359217,7920.203579,0.000000
151.522138,5033.400406,8068.244768,-153.219100
151.522459,4959.379811,7994.224174,-229.828649
151.522779,4885.359217,8142.265362,-383.047749
151.523100,5033.400406,7846.182985,-459.657299
151.523421,4959.379811,7994.224174,-229.828649
151.523741,4737.318029,8068.244768,-306.438199
151.524062,4811.338623,8068.244768,-306.438199
151.524382,4737.318029,7920.203579,-306.438199
151.524703,4737.318029,8068.244768,-383.047749
151.525024,4811.338623,8068.244768,-306.438199
151.525344,4959.379811,7994.224174,-383.047749
151.525665,4959.379811,8142.265362,536.266849
151.525986,5033.400406,8068.244768,-306.438199
151.526306,4737.318029,8142.265362,0.000000
151.526627,4663.297435,7994.224174,-229.828649
151.526947,4441.235652,7402.059420,-383.047749
151.527268,4219.173869,7624.121203,0.000000
151.527589,4367.215058,8660.409521,0.000000
151.527909,4663.297435,9770.718434,-919.314598
151.528230,4737.318029,10140.821405,-1378.971896
151.528551,4589.276840,9918.759623,-995.924147
151.528871,4145.153275,9474.636058,306.438199
151.529192,3478.967927,8882.471304,612.876398
151.529513,2812.782580,8882.471304,1072.533697
151.529833,2664.741391,9178.553681,766.095498
151.530154,2368.659014,9030.512492,-153.219100
151.530474,2812.782580,8586.388927,-536.266849
151.530795,2886.803174,8660.409521,-383.047749
151.531116,3108.864956,9474.636058,153.219100
151.531436,3108.864956,9548.656652,229.828649
151.531757,2664.741391,9326.594869,229.828649
151.532078,2294.638420,9548.656652,383.047749
