#time,accel_x,accel_y,accel_z
516.400833,4959.379811,7994.224174,0.000000
516.401154,4885.359217,8216.285956,0.000000
516.401474,4811.338623,7920.203579,0.000000
516.401795,5107.421000,8068.244768,76.609550
516.402115,4959.379811,8142.265362,-536.266849
516.402436,4959.379811,7994.224174,-536.266849
516.402757,5033.400406,8216.285956,0.000000
516.403077,4959.379811,8068.244768,-766.095498
516.403398,5033.400406,8068.244768,-229.828649
516.403718,4737.318029,8364.327145,-76.609550
516.404039,4885.359217,7920.203579,-612.876398
516.404360,4885.359217,8216.285956,-383.047749
516.404680,4811.338623,8216.285956,0.000000
516.405001,5033.400406,8068.244768,0.000000
516.405321,4959.379811,7994.224174,0.000000
516.405642,4737.318029,8142.265362,0.000000
516.405962,4737.318029,8216.285956,153.219100
516.406283,4959.379811,7920.203579,306.438199
516.406604,4959.379811,7994.224174,0.000000
516.406924,5107.421000,8068.244768,-306.438199
516.407245,4959.379811,8216.285956,-459.657299
516.407565,5033.400406,8068.244768,-229.828649
516.407886,4885.359217,8142.265362,0.000000
516.408207,5033.400406,8142.265362,-536.266849
516.408527,4959.379811,8216.285956,0.000000
516.408848,5181.441594,8142.265362,-306.438199
516.409168,4811.338623,8512.368333,0.000000
516.409489,5181.441594,7846.182985,229.828649
516.409810,4737.318029,8290.306550,0.000000
516.410130,4811.338623,7994.224174,0.000000
516.410451,4737.318029,8290.306550,-229.828649
516.410771,5033.400406,8216.285956,-306.438199
516.411092,4737.318029,8142.265362,-229.828649
516.411413,4885.359217,7920.203579,-383.047749
516.411733,4589.276840,7476.080014,-383.047749
516.412054,3997.112087,7402.059420,-306.438199
516.412374,4219.173869,8364.327145,0.000000
516.412695,4663.297435,9474.636058,-612.876398
516.413016,4811.338623,10066.800811,-1302.362347
516.413336,4589.276840,9474.636058,-1532.190996
516.413657,4145.153275,9030.512492,-766.095498
516.413977,3330.926739,8808.450710,229.828649
516.414298,2886.803174,9030.512492,919.314598
516.414619,2812.782580,9400.615463,995.924147
516.414939,2442.679609,9104.533087,306.438199
516.415260,2664.741391,8142.265362,-76.609550
516.415580,2812.782580,8142.265362,-612.876398
516.415901,2886.803174,9178.553681,-76.609550
516.416222,2960.823768,9474.636058,383.047749
