#time,accel_x,accel_y,accel_z
197.897436,5255.462188,7920.203579,-306.438199
197.897757,4885.359217,8216.285956,-229.828649
197.898079,5181.441594,7550.100608,229.828649
197.898400,4811.338623,8512.368333,-383.047749
197.898721,4885.359217,8068.244768,-76.609550
197.899042,5107.421000,8068.244768,-229.828649
197.899363,4885.359217,8290.306550,-153.219100
197.899685,5329.482782,8586.388927,-766.095498
197.900006,4885.359217,8290.306550,0.000000
197.900327,4885.359217,8068.244768,-153.219100
197.900648,5033.400406,7920.203579,-153.219100
197.900969,5107.421000,8216.285956,-306.438199
197.901291,5033.400406,7920.203579,0.000000
197.901612,5329.482782,7994.224174,0.000000
197.901933,4737.318029,8216.285956,-306.438199
197.902254,4885.359217,7994.224174,0.000000
197.902575,4885.359217,7920.203579,0.000000
197.902897,5033.400406,7994.224174,-229.828649
197.903218,4885.359217,7772.162391,-229.828649
197.903539,4959.379811,7994.224174,0.000000
197.903860,5181.441594,7846.182985,-229.828649
197.904181,5181.441594,8216.285956,0.000000
197.904503,5107.421000,7994.224174,-153.219100
197.904824,5181.441594,7772.162391,-153.219100
197.905145,4885.359217,8142.265362,-153.219100
197.905466,5107.421000,7994.224174,-306.438199
197.905787,5033.400406,8068.244768,0.000000
197.906109,5033.400406,7920.203579,-306.438199
197.906430,4959.379811,7994.224174,-306.438199
197.906751,4959.379811,7920.203579,0.000000
197.907072,4885.359217,7920.203579,-383.047749
197.907393,5107.421000,8290.306550,-153.219100
197.907715,4959.379811,7698.141797,-689.485948
197.908036,5181.441594,7698.141797,-459.657299
197.908357,4441.235652,7772.162391,-536.266849
197.908678,4515.256246,7550.100608,-536.266849
197.908999,4367.215058,7550.100608,-459.657299
197.909321,4589.276840,8364.327145,0.000000
197.909642,4663.297435,9326.594869,-383.047749
197.909963,4737.318029,9548.656652,-1149.143247
197.910284,4737.318029,9474.636058,-1072.533697
197.910605,4737.318029,9992.780217,-306.438199
197.910927,3849.070898,9474.636058,383.047749
197.911248,3182.885551,8438.347739,0.000000
197.911569,3256.906145,7105.977043,536.266849
197.911890,3256.906145,7550.100608,766.095498
197.912211,3997.112087,8290.306550,536.266849
197.912533,3849.070898,8512.368333,-459.657299
197.912854,4367.215058,8438.347739,-919.314598
197.913175,4293.194464,8438.347739,153.219100
197.913496,4515.256246,8734.430116,153.219100
197.913817,3701.029710,9622.677246,0.000000
197.914139,3256.906145,9400.615463,-1685.410096
197.914460,3478.967927,9474.636058,-1302.362347
