#time,accel_x,accel_y,accel_z
553.880825,5329.482782,7994.224174,-536.266849
553.881146,5107.421000,7994.224174,-306.438199
553.881467,5255.462188,7920.203579,0.000000
553.881787,4811.338623,8068.244768,-306.438199
553.882108,4885.359217,8068.244768,-306.438199
553.882429,4885.359217,8068.244768,-306.438199
553.882750,4737.318029,8216.285956,153.219100
553.883070,4959.379811,7994.224174,-383.047749
553.883391,4737.318029,8068.244768,-153.219100
553.883712,5033.400406,7994.224174,-76.609550
553.884032,5033.400406,8290.306550,0.000000
553.884353,4885.359217,8142.265362,0.000000
553.884674,4737.318029,7994.224174,-229.828649
553.884995,4811.338623,7994.224174,-153.219100
553.885315,4959.379811,7920.203579,-153.219100
553.885636,4811.338623,7846.182985,-229.828649
553.885957,4885.359217,8216.285956,0.000000
553.886278,4811.338623,8142.265362,-153.219100
553.886598,4885.359217,7920.203579,-306.438199
553.886919,5107.421000,8068.244768,-459.657299
553.887240,5107.421000,8068.244768,76.609550
553.887560,5329.482782,7920.203579,306.438199
553.887881,4885.359217,8068.244768,76.609550
553.888202,5107.421000,7994.224174,-536.266849
553.888523,5033.400406,8142.265362,0.000000
553.888843,5107.421000,8142.265362,0.000000
553.889164,5329.482782,8290.306550,-383.047749
553.889485,5033.400406,8142.265362,0.000000
553.889806,4885.359217,8068.244768,0.000000
553.890126,4959.379811,7994.224174,-306.438199
553.890447,5181.441594,7402.059420,-459.657299
553.890768,4367.215058,7476.080014,-612.876398
553.891088,4367.215058,7476.080014,-153.219100
553.891409,4367.215058,8734.430116,-383.047749
553.891730,4589.276840,9770.718434,-612.876398
553.892051,4663.297435,10214.842000,-1302.362347
553.892371,4737.318029,9918.759623,-1685.410096
553.892692,3849.070898,9474.636058,-383.047749
553.893013,3182.885551,8882.471304,306.438199
553.893333,2886.803174,8808.450710,1225.752797
553.893654,2812.782580,9104.533087,919.314598
553.893975,2664.741391,9326.594869,76.609550
553.894296,2812.782580,8586.388927,0.000000
553.894616,3108.864956,8734.430116,-306.438199
553.894937,3108.864956,9326.594869,153.219100
553.895258,2516.700203,9326.594869,459.657299
553.895579,2960.823768,8808.450710,-306.438199
553.895899,2368.659014,8734.430116,76.609550
553.896220,2220.617826,9992.780217,-459.657299
553.896541,1850.514855,11399.171507,-1225.752797
553.896861,1850.514855,12213.398043,-1532.190996
553.897182,1628.453072,11621.233289,-842.705048
553.897503,1184.329507,11029.068536,-919.314598
553.897824,0.000000,10584.944971,-1762.019645
553.898144,-814.226536,11029.068536,-1532.190996
553.898465,-1406.391290,12065.356855,-766.095498
553.898786,-1036.288319,12731.542202,153.219100
553.899107,-1332.370696,12287.418637,995.924147
553.899427,-740.205942,12065.356855,1302.362347
553.899748,-1332.370696,12731.542202,1685.410096
553.900069,-2220.617826,12879.583391,1838.629195
553.900389,-2294.638420,11251.130318,689.485948
553.900710,-1332.370696,9844.739029,-766.095498
553.901031,-1406.391290,9474.636058,0.000000
553.901352,-962.267725,9474.636058,459.657299
553.901672,-444.123565,10214.842000,459.657299
553.901993,518.144159,10807.006753,-689.485948
553.902314,1036.288319,11547.212695,-1455.581446
553.902635,1776.494261,11177.109724,-1302.362347
553.902955,2368.659014,10436.903782,-536.266849
553.903276,3256.906145,10881.027347,612.876398
553.903597,3478.967927,10510.924376,-153.219100
553.903917,2516.700203,9474.636058,-2068.457845
553.904238,1998.556043,8882.471304,-2528.115143
553.904559,2072.576638,9474.636058,-1532.190996
553.904880,1998.556043,9992.780217,-383.047749
553.905200,1924.535449,9918.759623,-459.657299
553.905521,1554.432478,10436.903782,-383.047749
553.905842,592.164754,11473.192101,-153.219100
553.906163,74.020594,11029.068536,612.876398
553.906483,-222.061783,10362.883188,229.828649
553.906804,-444.123565,9918.759623,306.438199
553.907125,-740.205942,9992.780217,766.095498
553.907445,-666.185348,10584.944971,689.485948
553.907766,-1036.288319,11399.171507,766.095498
553.908087,0.000000,11843.295072,1149.143247
553.908408,1406.391290,11991.336260,306.438199
553.908728,888.247130,11769.274478,0.000000
553.909049,592.164754,11325.150913,-459.657299
553.909370,740.205942,10584.944971,-842.705048
553.909691,1332.370696,10140.821405,-153.219100
553.910011,1776.494261,9104.533087,229.828649
553.910332,1628.453072,8660.409521,0.000000
553.910653,2072.576638,8808.450710,153.219100
553.910973,2368.659014,9992.780217,-306.438199
553.911294,2590.720797,11177.109724,-612.876398
553.911615,2738.761985,11177.109724,-842.705048
553.911936,3775.050304,10066.800811,-919.314598
