#time,accel_x,accel_y,accel_z
182.140810,4885.359217,7994.224174,0.000000
182.141130,4959.379811,7994.224174,-689.485948
182.141451,4811.338623,7994.224174,-229.828649
182.141772,5033.400406,7846.182985,0.000000
182.142093,5107.421000,7772.162391,0.000000
182.142413,4959.379811,7920.203579,76.609550
182.142734,5107.421000,8216.285956,0.000000
182.143055,5107.421000,7698.141797,-76.609550
182.143375,5181.441594,7994.224174,-153.219100
182.143696,5033.400406,8216.285956,0.000000
182.144017,4811.338623,8142.265362,153.219100
182.144337,4959.379811,7920.203579,0.000000
182.144658,5181.441594,7994.224174,0.000000
182.144979,5033.400406,8142.265362,0.000000
182.145300,5033.400406,8142.265362,0.000000
182.145620,4959.379811,8068.244768,0.000000
182.145941,5033.400406,8068.244768,-76.609550
182.146262,4959.379811,8142.265362,-383.047749
182.146582,4959.379811,8142.265362,-229.828649
182.146903,4885.359217,8290.306550,0.000000
182.147224,5403.503377,7994.224174,-153.219100
182.147544,5255.462188,7920.203579,-383.047749
182.147865,5033.400406,8142.265362,-229.828649
182.148186,5033.400406,8142.265362,-536.266849
182.148507,5033.400406,8216.285956,-383.047749
182.148827,5033.400406,8290.306550,-306.438199
182.149148,4737.318029,8216.285956,0.000000
182.149469,4885.359217,7624.121203,-229.828649
182.149789,4515.256246,7328.038826,-306.438199
182.150110,4145.153275,7476.080014,0.000000
182.150431,4515.256246,8586.388927,-229.828649
182.150751,4663.297435,9696.697840,-919.314598
182.151072,4811.338623,9696.697840,-1225.752797
182.151393,4811.338623,9548.656652,-1225.752797
182.151714,4293.194464,9400.615463,-536.266849
182.152034,3478.967927,8586.388927,383.047749
182.152355,3034.844362,8586.388927,1225.752797
182.152676,2886.803174,9104.533087,612.876398
182.152996,2590.720797,8956.491898,-153.219100
182.153317,2886.803174,8364.327145,-995.924147
182.153638,3108.864956,8586.388927,-306.438199
182.153958,3330.926739,9178.553681,76.609550
182.154279,2664.741391,9326.594869,306.438199
182.154600,2516.700203,8882.471304,153.219100
182.154921,2442.679609,9030.512492,0.000000
182.155241,1850.514855,10066.800811,-612.876398
182.155562,1702.473667,11029.068536,-1149.143247
182.155883,1702.473667,12065.356855,-1149.143247
182.156203,1258.350101,12139.377449,-919.314598
182.156524,814.226536,11473.192101,-995.924147
182.156845,-740.205942,11103.089130,-1838.629195
182.157165,-1406.391290,11473.192101,-1302.362347
182.157486,-1924.535449,12287.418637,-153.219100
182.157807,-1776.494261,12657.521608,766.095498
182.158128,-1258.350101,12139.377449,766.095498
182.158448,-1554.432478,12361.439231,919.314598
182.158769,-1850.514855,12879.583391,1838.629195
182.159090,-1998.556043,12435.459826,1838.629195
182.159410,-2812.782580,11399.171507,153.219100
182.159731,-1480.411884,10288.862594,-229.828649
182.160052,-1332.370696,9918.759623,0.000000
182.160372,-962.267725,9622.677246,766.095498
182.160693,0.000000,10288.862594,459.657299
182.161014,740.205942,11029.068536,-306.438199
182.161335,1110.308913,11473.192101,-1532.190996
182.161655,1702.473667,10658.965565,-1685.410096
182.161976,2368.659014,10732.986159,-612.876398
182.162297,3552.988522,10955.047942,229.828649
182.162617,3330.926739,10288.862594,-153.219100
182.162938,2664.741391,9400.615463,-1762.019645
182.163259,1628.453072,8956.491898,-1838.629195
182.163579,1776.494261,9844.739029,-1149.143247
182.163900,1850.514855,9918.759623,-383.047749
182.164221,1924.535449,10288.862594,306.438199
182.164542,1406.391290,10955.047942,-689.485948
182.164862,814.226536,11251.130318,306.438199
182.165183,0.000000,10955.047942,919.314598
182.165504,-444.123565,10362.883188,995.924147
182.165824,-296.082377,9770.718434,612.876398
182.166145,0.000000,9696.697840,689.485948
182.166466,-444.123565,10362.883188,536.266849
182.166786,0.000000,10955.047942,1302.362347
182.167107,666.185348,11547.212695,1532.190996
182.167428,1258.350101,11843.295072,1455.581446
182.167749,1036.288319,11251.130318,306.438199
182.168069,1110.308913,10955.047942,-689.485948
182.168390,1480.411884,10436.903782,-689.485948
182.168711,2220.617826,9548.656652,-306.438199
182.169031,1850.514855,8808.450710,-536.266849
182.169352,2220.617826,8290.306550,-229.828649
182.169673,2294.638420,8364.327145,-306.438199
182.169993,2516.700203,9844.739029,-383.047749
182.170314,2664.741391,11029.068536,-459.657299
182.170635,3478.967927,11547.212695,-842.705048
182.170956,3552.988522,10732.986159,-1072.533697
182.171276,3182.885551,9696.697840,-995.924147
182.171597,2516.700203,8882.471304,-383.047749
182.171918,2590.720797,9696.697840,-229.828649
182.172238,1332.370696,10881.027347,-1225.752797
182.172559,592.164754,11103.089130,-229.828649
182.172880,814.226536,11621.233289,-842.705048
182.173200,666.185348,11325.150913,-995.924147
182.173521,-666.185348,10510.924376,-1302.362347
182.173842,-1554.432478,9178.553681,-1072.533697
182.174163,-1480.411884,8438.347739,-76.609550
182.174483,-1554.432478,8956.491898,842.705048
182.174804,-962.267725,10584.944971,1608.800546
182.175125,0.000000,12805.562797,1225.752797
182.175445,0.000000,14656.077652,689.485948
182.175766,740.205942,14878.139434,383.047749
182.176087,1332.370696,12805.562797,-229.828649
182.176407,1036.288319,10066.800811,-229.828649
182.176728,666.185348,9252.574275,383.047749
182.177049,-518.144159,9474.636058,-383.047749
182.177370,-1258.350101,9622.677246,-1685.410096
182.177690,-1628.453072,9770.718434,-2451.505594
182.178011,-1110.308913,10436.903782,-1532.190996
182.178332,-222.061783,11325.150913,-383.047749
182.178652,444.123565,12583.501014,459.657299
182.178973,740.205942,13619.789333,-76.609550
182.179294,296.082377,14063.912898,-766.095498
182.179614,444.123565,14285.974681,-383.047749
182.179935,1184.329507,13101.645173,0.000000
182.180256,814.226536,10436.903782,0.000000
182.180577,1554.432478,7994.224174,-153.219100
182.180897,1702.473667,7328.038826,-306.438199
182.181218,370.102971,8882.471304,459.657299
182.181539,296.082377,9918.759623,1225.752797
182.181859,592.164754,10510.924376,1072.533697
182.182180,888.247130,9918.759623,383.047749
182.182501,1406.391290,8808.450710,76.609550
182.182821,1850.514855,9178.553681,153.219100
182.183142,1776.494261,11473.192101,-306.438199
182.183463,296.082377,13101.645173,-995.924147
182.183784,0.000000,13027.624579,-2451.505594
182.184104,444.123565,12953.603985,-2528.115143
182.184425,148.041188,12509.480420,-689.485948
182.184746,444.123565,12139.377449,383.047749
182.185066,888.247130,11177.109724,459.657299
182.185387,592.164754,10732.986159,612.876398
182.185708,-814.226536,10140.821405,1532.190996
182.186028,-962.267725,9104.533087,1378.971896
182.186349,-962.267725,8216.285956,1225.752797
182.186670,-740.205942,8290.306550,1685.410096
182.186991,-222.061783,8290.306550,612.876398
182.187311,740.205942,9400.615463,-689.485948
182.187632,1702.473667,11917.315666,-995.924147
182.187953,2516.700203,14211.954086,-1225.752797
182.188273,2072.576638,13693.809927,-1608.800546
182.188594,1406.391290,10140.821405,-1685.410096
182.188915,1776.494261,7105.977043,-689.485948
182.189235,3330.926739,7846.182985,1532.190996
182.189556,1480.411884,9918.759623,1302.362347
182.189877,518.144159,11251.130318,-1072.533697
182.190198,1480.411884,12435.459826,-2298.286494
182.190518,2368.659014,11547.212695,-2528.115143
182.190839,296.082377,8290.306550,-1455.581446
182.191160,370.102971,6661.853478,-1072.533697
182.191480,0.000000,9178.553681,-689.485948
182.191801,-1110.308913,12361.439231,0.000000
182.192122,-814.226536,13915.871710,689.485948
182.192442,-740.205942,14063.912898,536.266849
182.192763,-518.144159,14952.160028,459.657299
182.193084,-592.164754,14878.139434,1149.143247
182.193405,-1554.432478,12361.439231,995.924147
182.193725,-1554.432478,10584.944971,-306.438199
182.194046,-592.164754,9770.718434,76.609550
182.194367,-296.082377,8734.430116,689.485948
182.194687,-1480.411884,8438.347739,1302.362347
182.195008,-1332.370696,9252.574275,1455.581446
182.195329,74.020594,9992.780217,1225.752797
182.195649,1850.514855,10214.842000,1915.238745
182.195970,3775.050304,11103.089130,383.047749
182.196291,4885.359217,12435.459826,-1149.143247
182.196612,4441.235652,12583.501014,-2451.505594
182.196932,3330.926739,11103.089130,-3677.258390
182.197253,1850.514855,8882.471304,-3294.210641
182.197574,1184.329507,7105.977043,-1608.800546
182.197894,2738.761985,9178.553681,612.876398
182.198215,1776.494261,11547.212695,2145.067394
182.198536,1036.288319,13767.830521,-689.485948
182.198856,666.185348,13249.686362,-2834.553343
182.199177,-740.205942,10955.047942,-1838.629195
182.199498,-2220.617826,9622.677246,459.657299
182.199819,-1406.391290,9844.739029,2681.334243
182.200140,-1406.391290,10362.883188,842.705048
182.200461,-1184.329507,12509.480420,-842.705048
182.200781,-2368.659014,13545.768739,-459.657299
182.201102,-2886.803174,12805.562797,153.219100
182.201423,-1924.535449,11695.253884,1685.410096
182.201744,0.000000,10288.862594,3907.087040
182.202065,1480.411884,10881.027347,3140.991542
182.202386,-1258.350101,10510.924376,612.876398
182.202707,-962.267725,10436.903782,-1685.410096
182.203028,296.082377,9178.553681,-153.219100
182.203349,2294.638420,8586.388927,1838.629195
182.203669,3330.926739,6143.709319,1455.581446
182.203990,4811.338623,7328.038826,-306.438199
182.204311,4441.235652,11177.109724,-2221.676944
182.204632,2590.720797,12879.583391,-1915.238745
182.204953,4441.235652,11251.130318,-1991.848295
182.205274,6587.832884,9548.656652,-1991.848295
182.205595,4441.235652,8586.388927,-1608.800546
182.205916,2072.576638,6809.894666,-1608.800546
182.206237,1702.473667,7846.182985,-1991.848295
182.206558,518.144159,11547.212695,-1149.143247
182.206878,0.000000,13397.727550,-995.924147
182.207199,814.226536,11843.295072,-2451.505594
182.207520,1110.308913,10584.944971,-1838.629195
182.207841,-1110.308913,11325.150913,1608.800546
182.208162,-2590.720797,12657.521608,3907.087040
182.208483,-2886.803174,12583.501014,1991.848295
182.208804,-2886.803174,13249.686362,229.828649
182.209125,-3404.947333,12065.356855,229.828649
182.209446,-2146.597232,11251.130318,536.266849
182.209766,-962.267725,11103.089130,1838.629195
182.210087,-1850.514855,12953.603985,2451.505594
