#time,accel_x,accel_y,accel_z
582.310813,4811.338623,8068.244768,0.000000
582.311133,5033.400406,8290.306550,76.609550
582.311454,4811.338623,8216.285956,76.609550
582.311774,5107.421000,7994.224174,-306.438199
582.312095,4959.379811,8068.244768,-153.219100
582.312415,4885.359217,8142.265362,-153.219100
582.312735,5033.400406,7994.224174,76.609550
582.313056,4885.359217,7994.224174,0.000000
582.313376,4811.338623,8068.244768,0.000000
582.313696,5033.400406,8216.285956,-153.219100
582.314017,4885.359217,8290.306550,-306.438199
582.314337,5107.421000,8216.285956,0.000000
582.314657,4885.359217,7920.203579,0.000000
582.314978,4959.379811,7698.141797,0.000000
582.315298,4885.359217,8142.265362,-153.219100
582.315619,4811.338623,8290.306550,-229.828649
582.315939,4737.318029,8216.285956,229.828649
582.316259,4885.359217,8142.265362,-306.438199
582.316580,5033.400406,7994.224174,-306.438199
582.316900,4959.379811,7994.224174,-229.828649
582.317220,4959.379811,7920.203579,0.000000
582.317541,4959.379811,8142.265362,-306.438199
582.317861,4885.359217,8142.265362,0.000000
582.318182,5033.400406,8068.244768,0.000000
582.318502,4959.379811,8068.244768,-153.219100
582.318822,4959.379811,8068.244768,0.000000
582.319143,5255.462188,8290.306550,-306.438199
582.319463,4885.359217,8216.285956,-306.438199
582.319783,4663.297435,7698.141797,-383.047749
582.320104,4145.153275,7476.080014,-229.828649
582.320424,4589.276840,7698.141797,0.000000
582.320744,4441.235652,9178.553681,-306.438199
582.321065,4737.318029,9918.759623,-766.095498
582.321385,4663.297435,9770.718434,-1225.752797
582.321706,4293.194464,9400.615463,-995.924147
582.322026,4071.132681,8956.491898,0.000000
582.322346,3478.967927,8512.368333,1302.362347
582.322667,2590.720797,8882.471304,1072.533697
582.322987,2516.700203,9326.594869,459.657299
582.323307,2664.741391,9178.553681,-153.219100
582.323628,2886.803174,8216.285956,-766.095498
582.323948,3404.947333,8956.491898,0.000000
582.324268,3256.906145,9474.636058,76.609550
582.324589,2886.803174,9326.594869,383.047749
582.324909,2442.679609,8660.409521,76.609550
582.325230,2516.700203,8660.409521,0.000000
582.325550,2516.700203,10288.862594,-1302.362347
582.325870,1850.514855,11325.150913,-1149.143247
582.326191,1480.411884,11843.295072,-1532.190996
582.326511,1406.391290,11843.295072,-1378.971896
582.326831,814.226536,11103.089130,-1072.533697
582.327152,148.041188,11325.150913,-1072.533697
582.327472,-888.247130,11621.233289,-1149.143247
582.327793,-1480.411884,12361.439231,76.609550
582.328113,-1554.432478,12435.459826,995.924147
582.328433,-1332.370696,11843.295072,1072.533697
582.328754,-962.267725,12065.356855,1915.238745
582.329074,-1406.391290,12287.418637,1991.848295
582.329394,-2294.638420,12435.459826,1072.533697
582.329715,-2664.741391,10881.027347,76.609550
582.330035,-1628.453072,9770.718434,-383.047749
582.330355,-666.185348,9474.636058,229.828649
582.330676,-444.123565,9992.780217,1149.143247
582.330996,-370.102971,10881.027347,306.438199
582.331317,296.082377,11547.212695,-766.095498
582.331637,1036.288319,11843.295072,-1608.800546
582.331957,1406.391290,11325.150913,-1072.533697
582.332278,2368.659014,10510.924376,-229.828649
582.332598,3182.885551,10955.047942,0.000000
582.332918,2738.761985,10510.924376,-612.876398
582.333239,2294.638420,9474.636058,-2374.896044
582.333559,2220.617826,8882.471304,-2451.505594
582.333880,1924.535449,9474.636058,-919.314598
582.334200,2368.659014,9548.656652,0.000000
582.334520,1924.535449,9992.780217,-306.438199
582.334841,1628.453072,10807.006753,-459.657299
582.335161,666.185348,11473.192101,153.219100
582.335481,74.020594,10807.006753,229.828649
582.335802,0.000000,10140.821405,459.657299
582.336122,0.000000,10066.800811,536.266849
582.336442,0.000000,10214.842000,766.095498
582.336763,-222.061783,10436.903782,766.095498
582.337083,-370.102971,11251.130318,766.095498
582.337404,0.000000,11547.212695,919.314598
582.337724,888.247130,11843.295072,842.705048
582.338044,666.185348,11251.130318,306.438199
582.338365,444.123565,11103.089130,-459.657299
582.338685,740.205942,10288.862594,-612.876398
582.339005,1406.391290,9844.739029,-229.828649
582.339326,1406.391290,8734.430116,76.609550
582.339646,1628.453072,8438.347739,76.609550
582.339966,2442.679609,8956.491898,0.000000
582.340287,2516.700203,10436.903782,-306.438199
582.340607,2516.700203,11473.192101,-536.266849
582.340928,3108.864956,10658.965565,-919.314598
582.341248,3478.967927,10510.924376,-919.314598
582.341568,3627.009116,9696.697840,-842.705048
582.341889,2960.823768,9252.574275,-842.705048
582.342209,2886.803174,9400.615463,-995.924147
582.342529,1850.514855,10362.883188,-766.095498
582.342850,1110.308913,11325.150913,-459.657299
582.343170,814.226536,11843.295072,-536.266849
582.343491,1184.329507,11473.192101,-1532.190996
582.343811,0.000000,10510.924376,-1915.238745
582.344131,-1480.411884,9252.574275,-1149.143247
582.344452,-1702.473667,8734.430116,229.828649
582.344772,-2368.659014,9474.636058,1455.581446
582.345092,-888.247130,11251.130318,1915.238745
582.345413,-222.061783,12731.542202,1072.533697
582.345733,74.020594,13915.871710,919.314598
582.346053,444.123565,13841.851115,1072.533697
582.346374,666.185348,12583.501014,0.000000
582.346694,1554.432478,10510.924376,0.000000
582.347015,666.185348,9548.656652,-76.609550
582.347335,0.000000,9030.512492,-842.705048
582.347655,-888.247130,9252.574275,-1225.752797
582.347976,-1332.370696,9474.636058,-1378.971896
582.348296,-1406.391290,10584.944971,-1838.629195
582.348616,222.061783,11769.274478,-536.266849
582.348937,1110.308913,13027.624579,76.609550
582.349257,888.247130,13915.871710,0.000000
582.349578,518.144159,14211.954086,229.828649
582.349898,518.144159,13693.809927,-459.657299
582.350218,666.185348,11843.295072,0.000000
582.350539,962.267725,8956.491898,-229.828649
582.350859,1554.432478,6883.915261,-459.657299
582.351179,2072.576638,8216.285956,76.609550
582.351500,296.082377,10288.862594,229.828649
582.351820,370.102971,11251.130318,383.047749
582.352140,1406.391290,10066.800811,536.266849
582.352461,1110.308913,9178.553681,229.828649
582.352781,888.247130,9104.533087,689.485948
582.353102,1110.308913,9918.759623,306.438199
582.353422,666.185348,11769.274478,-1302.362347
582.353742,518.144159,12657.521608,-1378.971896
582.354063,962.267725,12731.542202,-1838.629195
582.354383,1406.391290,12361.439231,-1685.410096
582.354703,518.144159,12509.480420,-842.705048
582.355024,-148.041188,12879.583391,689.485948
582.355344,74.020594,12065.356855,1072.533697
582.355665,148.041188,10140.821405,1455.581446
582.355985,-296.082377,9770.718434,536.266849
582.356305,-1036.288319,9178.553681,689.485948
582.356626,-2220.617826,8586.388927,1762.019645
582.356946,-2146.597232,8216.285956,1225.752797
582.357266,148.041188,8364.327145,459.657299
582.357587,1554.432478,9992.780217,0.000000
