#time,accel_x,accel_y,accel_z
587.630932,4959.379811,8142.265362,-306.438199
587.631253,4811.338623,8438.347739,76.609550
587.631573,4959.379811,8216.285956,-153.219100
587.631894,5033.400406,7920.203579,-306.438199
587.632214,4959.379811,7994.224174,-229.828649
587.632534,4959.379811,8068.244768,0.000000
587.632855,5181.441594,8142.265362,0.000000
587.633175,5033.400406,8142.265362,0.000000
587.633496,4959.379811,8142.265362,0.000000
587.633816,4885.359217,7920.203579,0.000000
587.634136,5033.400406,8216.285956,-383.047749
587.634457,4959.379811,8290.306550,0.000000
587.634777,4737.318029,7920.203579,-383.047749
587.635097,4811.338623,7994.224174,-383.047749
587.635418,5033.400406,7994.224174,-153.219100
587.635738,4959.379811,7994.224174,0.000000
587.636059,4663.297435,7994.224174,-306.438199
587.636379,4959.379811,7994.224174,0.000000
587.636699,4885.359217,8068.244768,0.000000
587.637020,5033.400406,7994.224174,-306.438199
587.637340,5033.400406,7772.162391,-229.828649
587.637660,4959.379811,7994.224174,-153.219100
587.637981,4959.379811,8068.244768,-229.828649
587.638301,4737.318029,7846.182985,-76.609550
587.638622,4885.359217,8068.244768,0.000000
587.638942,4959.379811,7920.203579,0.000000
587.639262,5181.441594,8364.327145,-383.047749
587.639583,4811.338623,7920.203579,0.000000
587.639903,4959.379811,8142.265362,-153.219100
587.640224,5181.441594,8142.265362,0.000000
587.640544,4885.359217,8068.244768,153.219100
587.640864,5033.400406,7994.224174,-153.219100
587.641185,4811.338623,7550.100608,-612.876398
587.641505,3997.112087,7476.080014,-383.047749
587.641825,4219.173869,7846.182985,-153.219100
587.642146,4663.297435,9030.512492,-229.828649
587.642466,4737.318029,10214.842000,-1302.362347
587.642787,4663.297435,10140.821405,-1149.143247
587.643107,4441.235652,9548.656652,-766.095498
587.643427,3923.091493,8808.450710,0.000000
587.643748,3330.926739,8586.388927,689.485948
587.644068,3182.885551,9252.574275,1149.143247
587.644388,2738.761985,9252.574275,383.047749
587.644709,2590.720797,9400.615463,0.000000
587.645029,2738.761985,8438.347739,-536.266849
587.645350,3256.906145,8660.409521,-306.438199
587.645670,2886.803174,9400.615463,153.219100
587.645990,2738.761985,9104.533087,306.438199
587.646311,2442.679609,8512.368333,0.000000
587.646631,2664.741391,9326.594869,0.000000
587.646952,2220.617826,10510.924376,-153.219100
587.647272,1998.556043,11991.336260,-766.095498
587.647592,1776.494261,12287.418637,-1072.533697
587.647913,1628.453072,11917.315666,-1149.143247
587.648233,740.205942,11103.089130,-1302.362347
587.648553,-370.102971,10881.027347,-1225.752797
587.648874,-592.164754,11769.274478,-995.924147
587.649194,-1480.411884,12361.439231,0.000000
587.649515,-1554.432478,12435.459826,919.314598
587.649835,-1332.370696,11769.274478,1072.533697
587.650155,-666.185348,12287.418637,1455.581446
587.650476,-1480.411884,13175.665768,1762.019645
587.650796,-2516.700203,12657.521608,1225.752797
587.651117,-2072.576638,10807.006753,229.828649
587.651437,-1110.308913,9622.677246,-76.609550
587.651757,-1406.391290,9548.656652,306.438199
587.652078,-1036.288319,10214.842000,766.095498
587.652398,-592.164754,10955.047942,383.047749
587.652718,0.000000,11251.130318,-842.705048
587.653039,888.247130,11547.212695,-1685.410096
587.653359,1628.453072,11177.109724,-1149.143247
587.653680,2442.679609,10732.986159,153.219100
587.654000,2664.741391,11177.109724,689.485948
587.654320,2368.659014,10510.924376,-995.924147
587.654641,1776.494261,9696.697840,-2068.457845
587.654961,1406.391290,9178.553681,-2068.457845
587.655281,2220.617826,9400.615463,-383.047749
587.655602,1924.535449,9918.759623,0.000000
587.655922,1702.473667,9918.759623,-306.438199
587.656243,1184.329507,10584.944971,-306.438199
587.656563,666.185348,10955.047942,383.047749
587.656883,74.020594,10362.883188,689.485948
587.657204,0.000000,9770.718434,689.485948
587.657524,296.082377,9696.697840,766.095498
587.657845,444.123565,9992.780217,612.876398
587.658165,0.000000,10362.883188,383.047749
587.658485,0.000000,11103.089130,536.266849
587.658806,814.226536,11843.295072,995.924147
587.659126,1110.308913,11547.212695,842.705048
587.659446,1036.288319,11103.089130,0.000000
587.659767,962.267725,10584.944971,-383.047749
587.660087,1332.370696,10510.924376,-842.705048
587.660408,1776.494261,9474.636058,-919.314598
587.660728,1332.370696,8882.471304,153.219100
587.661048,1628.453072,8438.347739,153.219100
587.661369,2072.576638,9178.553681,0.000000
587.661689,2368.659014,10140.821405,0.000000
587.662009,2442.679609,10955.047942,-842.705048
587.662330,2960.823768,10658.965565,-689.485948
587.662650,3849.070898,10510.924376,-1225.752797
587.662971,3552.988522,9918.759623,-766.095498
587.663291,2738.761985,9844.739029,-995.924147
587.663611,2960.823768,10140.821405,-995.924147
587.663932,1702.473667,10955.047942,-689.485948
587.664252,1258.350101,11251.130318,-459.657299
587.664573,1332.370696,11473.192101,-229.828649
587.664893,1036.288319,10881.027347,-1455.581446
587.665213,-444.123565,10288.862594,-1302.362347
587.665534,-1332.370696,9178.553681,-689.485948
587.665854,-1258.350101,9104.533087,0.000000
587.666174,-1332.370696,9696.697840,1532.190996
587.666495,-592.164754,11621.233289,1762.019645
587.666815,296.082377,13027.624579,1455.581446
587.667136,148.041188,13841.851115,766.095498
587.667456,222.061783,13471.748144,76.609550
587.667776,1258.350101,12435.459826,229.828649
587.668097,1258.350101,10955.047942,0.000000
587.668417,740.205942,9696.697840,-229.828649
587.668737,74.020594,9104.533087,-842.705048
587.669058,-1110.308913,9326.594869,-1838.629195
587.669378,-2294.638420,9696.697840,-1762.019645
587.669699,-1702.473667,10807.006753,-1225.752797
587.670019,-296.082377,12213.398043,-383.047749
587.670339,666.185348,12657.521608,0.000000
587.670660,1036.288319,12879.583391,-689.485948
587.670980,444.123565,13767.830521,-612.876398
587.671301,222.061783,13397.727550,-229.828649
587.671621,1332.370696,12435.459826,-383.047749
587.671941,1184.329507,9696.697840,-689.485948
587.672262,1850.514855,8068.244768,-76.609550
587.672582,1628.453072,8216.285956,612.876398
587.672902,0.000000,9400.615463,766.095498
587.673223,-296.082377,10362.883188,1378.971896
587.673543,-74.020594,9696.697840,766.095498
587.673864,444.123565,8364.327145,76.609550
587.674184,518.144159,9178.553681,229.828649
587.674504,814.226536,9918.759623,153.219100
587.674825,1406.391290,12509.480420,-612.876398
587.675145,1036.288319,13323.706956,-1072.533697
587.675465,1110.308913,11695.253884,-2145.067394
587.675786,1184.329507,12213.398043,-1762.019645
587.676106,1110.308913,12805.562797,-689.485948
587.676427,-444.123565,12509.480420,0.000000
587.676747,370.102971,10955.047942,383.047749
587.677067,1480.411884,10362.883188,1225.752797
587.677388,-518.144159,10140.821405,995.924147
587.677708,-962.267725,9548.656652,1455.581446
587.678029,-2294.638420,9400.615463,1685.410096
587.678349,-2738.761985,8290.306550,842.705048
587.678669,0.000000,8142.265362,536.266849
587.678990,2294.638420,9400.615463,153.219100
587.679310,1702.473667,11621.233289,-689.485948
587.679630,2220.617826,13619.789333,-536.266849
587.679951,2220.617826,13323.706956,-1762.019645
587.680271,1998.556043,9696.697840,-2451.505594
587.680592,2442.679609,6883.915261,-689.485948
587.680912,4367.215058,8142.265362,1072.533697
587.681232,1850.514855,11251.130318,766.095498
587.681553,0.000000,13101.645173,-1608.800546
587.681873,1258.350101,12805.562797,-3600.648841
587.682194,1628.453072,11103.089130,-2834.553343
587.682514,222.061783,8364.327145,-536.266849
587.682834,-888.247130,7105.977043,0.000000
587.683155,-962.267725,9252.574275,-153.219100
587.683475,-1554.432478,12805.562797,76.609550
587.683795,-1924.535449,14656.077652,689.485948
587.684116,-888.247130,14211.954086,76.609550
587.684436,-370.102971,14063.912898,612.876398
587.684757,-1776.494261,13471.748144,1378.971896
587.685077,-1184.329507,12065.356855,689.485948
587.685397,-1924.535449,10881.027347,0.000000
587.685718,-1036.288319,10214.842000,0.000000
587.686038,0.000000,9548.656652,536.266849
587.686358,-148.041188,8808.450710,1225.752797
587.686679,-370.102971,8586.388927,1532.190996
587.686999,1406.391290,9770.718434,1532.190996
587.687320,2812.782580,10658.965565,1225.752797
587.687640,3997.112087,11695.253884,-459.657299
587.687960,5033.400406,11991.336260,-1302.362347
587.688281,5625.565159,11769.274478,-2451.505594
587.688601,3108.864956,10362.883188,-3064.381992
587.688922,1258.350101,7846.182985,-2528.115143
587.689242,2146.597232,7254.018232,-1302.362347
587.689562,2886.803174,9622.677246,766.095498
587.689883,1258.350101,12509.480420,1225.752797
587.690203,2590.720797,13915.871710,-612.876398
587.690524,1258.350101,11843.295072,-2604.724693
587.690844,-1776.494261,9178.553681,-1532.190996
